'Assignment group','Business service',Category,Company,'Created Time','Created by','Has Parent',Impact,'Major Problem','Opened by',Priority,Type,Urgency
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Services',night,Other,True,3,True,'Sandrina Khongjee',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',morning,Other,True,3,True,'Mandeep Khati',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',night,ID3667964,True,3,True,'DZundra Green',3,ITCC,1
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',morning,Other,True,3,True,'Herman Holeyfield',5,ITCC,3
Other,Other,Network,'FedEx Express',evening,ID3667964,True,2,True,'DZundra Green',3,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',night,ID3667964,True,3,True,'DZundra Green',3,ITCC,1
Other,'Communication Device',Network,'FedEx Freight Inc.',morning,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
Other,Other,Network,'FedEx Services',morning,ID836059,True,1,True,'Khouri Mitchell',2,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Services',morning,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
Other,Other,Network,'FedEx Ground',night,Other,True,3,False,'Sandrina Khongjee',5,Other,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',night,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Services',night,ID5305519,True,3,True,'Ashish Bisht',5,ITCC,3
