'Assignment group','Business service',Category,Company,'Created Time','Created by','Has Parent',Impact,'Major Problem','Opened by',Priority,Type,Urgency
Other,Network,Hardware,'FedEx Services',evening,Other,True,1,True,'Sean Green',1,ITCC,3
Other,Server,Hardware,'FedEx Services',afternoon,ID5305519,True,1,True,'Ashish Bisht',1,Standard,3
Other,Server,Application,'FedEx Services',morning,ID847287,True,1,True,'Logan Simmons',1,ITCC,3
Other,Server,Application,'FedEx Services',morning,ID847287,True,1,True,'Logan Simmons',0.75,ITCC,2
Other,Network,Application,'FedEx Services',evening,Other,True,1,True,'Anjali Sharma',1,Standard,3
Other,Server,Application,'FedEx Services',morning,ID847287,True,1,True,'Logan Simmons',1,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,ID5305519,True,1,True,'Ashish Bisht',1,Standard,3
Other,Server,Application,'FedEx Express',night,ID3667964,True,1,True,'DZundra Green',1,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,ID5305519,True,1,True,'Ashish Bisht',1,Standard,3
Other,Scanner,Application,'FedEx Ground',morning,Other,True,1,False,Other,1,Standard,3
Other,Server,Application,'FedEx Services',morning,Other,True,1,True,'Brad Moore',1,ITCC,3
Other,Computer,Application,'FedEx Express',afternoon,Other,True,0.5,True,'Brad Moore',0.75,ITCC,3
Other,Database,Application,'FedEx Ground',afternoon,Other,True,1,False,Other,1,Standard,3
FXS_APSCITL3OMSSTERLING,Database,Application,Other,morning,Other,True,1,False,Other,0.75,Standard,2
Other,Printer,Hardware,'FedEx Express',night,Other,True,1,True,'David Light',1,ITCC,3
Other,Network,Hardware,'FedEx Ground',night,Other,True,1,True,'David Light',1,ITCC,3
Other,Server,Application,'FedEx Services',morning,ID847287,True,1,True,'Logan Simmons',1,ITCC,3
FXS_WASDRATINGTRACKING,Server,Application,'FedEx Services',morning,ID847287,True,0.5,True,'Logan Simmons',0.75,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,ID847287,True,1,True,'Logan Simmons',1,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,ID5305519,True,1,True,'Ashish Bisht',1,ITCC,3
Other,Database,'Inquiry / Help','FedEx Services',afternoon,Other,True,1,True,'Anjali Sharma',1,ITCC,3
